Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
,Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,亚美尼亚,8.538542212,6.63186556,4.188979575,8.322090806,4.412252849,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648,4.010645933,3.606369078,0.646135943,8.024397049,5.769882149,8.2086495,-6.704049318,6.254220068
15,阿塞拜疆,-12.81342944,0.28021389,4.784282352,8.960886763,6.461584076,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099,1.475936941,-0.103121365,-4.17717168,-0.778416126,0.624486168,1.635850481,-4.952701739,5.135158571
25,白俄罗斯,-10.1088528,3.146686066,11.8639522,8.889364506,3.866378654,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669279929,-3.957251254,-2.611913805,2.644807522,3.369991519,1.604818192,-0.278203387,2.73401499
30,巴巴多斯,1.784148274,3.782604152,4.568602084,3.564005148,0.134115254,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.740724577,1.694449723,0.200454089,-5.418778446,-2.692141229,-0.967165211,-0.688990257,-1.685187442,-0.313377482,2.255206921,2.324756803,0.262708848,-1.204427376,-0.306518356,-13.46945599,-0.36923033
55,德国,1.246141876,0.514437285,1.643334273,1.998485321,1.821428031,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.678212594,0.828957962,-3.775429714,2.583557475
66,厄瓜多尔,0.359639648,-0.113109062,2.477499617,1.473244066,-6.369163606,-0.625240913,2.242180682,2.304133694,0.942184171,6.344882336,3.491195493,2.621996709,0.44929932,4.559943578,-1.111364474,1.820647693,6.111532316,3.962519179,3.350546243,2.260424369,-1.371519259,-2.690499476,0.790527393,-0.608002129,-1.879688207,-9.07131767,3.010378163
82,格鲁吉亚,6.528767015,15.31019682,14.12142425,5.687769083,5.007586678,3.838100069,6.443911043,6.424463063,11.81131435,6.451674622,10.28800429,10.04357676,13.16775225,2.730182663,-2.790940254,7.027385327,8.264988721,7.155378254,3.933646408,4.382901471,2.860094243,2.844902055,4.828569855,4.883854929,5.162618817,-6.824432632,10.88570195
85,几内亚,1.718979963,1.541535029,3.039952188,1.702365885,1.496338582,0.510408914,2.32360542,3.545380566,-0.995885504,0.184086182,0.979328739,-0.876468729,4.395643234,1.655245404,-3.505824317,2.268168038,3.034094544,3.353180363,1.437755266,1.153539502,1.212553188,7.987763805,7.508405646,3.697806527,2.970450896,2.317241012,1.391141551
119,日本,2.390519558,2.900141234,0.740905953,-1.538244076,-0.51574059,2.592891087,0.14451169,-0.190392014,1.318091962,2.151723329,1.794339801,1.308127183,1.367422326,-1.272109949,-5.68145234,4.079223048,0.209251803,1.536786659,2.152371066,0.429381123,1.668465117,0.805362825,1.758611802,0.711770198,-0.100125011,-4.225555341,2.125722232
