,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
0,,Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,10,Armenia,19.08213997,16.93857002,22.7202301,33.5735817,35.21240997,35.54978943,33.54529953,36.14685822,37.2188797,37.88314056,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099,51.08018875,52.25152969,54.57048035,51.48752975,50.81660843,55.41358948
2,15,Azerbaijan,18.38257027,18.08035088,17.58492088,15.64716345,16.2635631,16.87996274,17.49636238,18.11276202,18.72916166,19.34556131,19.96196095,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,27.70849991,31.54019928,35.24843979,38.2371788
4,30,Barbados,23.68054393,26.73971012,29.79887631,32.8580425,34.96662903,40.57286072,39.82133102,45.09470726,48.15387345,51.21303964,54.27220583,57.33137202,59.73392868,63.4497044,75.69624329,69.80744171,65.42533875,75.68636916,78.74553535,81.80470154,84.86386773,87.92303392,90.98220011,94.0413663,97.10053249,100.1596987,103.2188649
3,25,Belarus,40.71274948,44.90518188,45.57012177,49.65983963,52.65364075,55.08983994,57.5134697,60.09336853,62.86722946,65.01206207,67.57421112,69.71343231,71.66674805,71.22473145,74.45922089,79.57814026,86.13761902,92.07142639,93.54328156,91.50016022,89.56716156,88.18457794,88.45143127,87.42909241,87.7572403,86.59693146,82.23885345
6,66,Ecuador,18.09099007,18.99296765,18.53631973,21.66406221,22.99960949,24.33515677,25.67070405,27.00625133,28.34179861,29.67734589,31.01289317,32.34844044,33.68398772,38.77502823,36.35508228,37.69062956,39.02617684,39.81666946,40.32244873,43.03281868,44.89223099,45.70391324,47.03946051,47.59777069,47.94522858,52.58781052,52.38164963
7,82,Georgia,43.4928093,39.94224167,42.78186035,37.09732447,36.09960938,39.05968857,40.86437988,43.76617813,45.85309982,45.78385162,51.37931061,42.73038101,41.81056976,38.87020874,28.88170052,32.58370972,34.78549957,32.24253082,37.91400146,42.28091812,46.48112869,51.83005142,56.8112793,60.33444977,63.91550064,66.68921661,72.53726196
8,85,Germany,1.324569941,1.227329969,1.261420012,1.300199986,3.569773915,3.891869878,4.213965842,4.536061806,4.85815777,2.295830011,3.076009989,5.334430218,8.276450157,9.435660362,9.568929672,10.90025043,11.06587982,10.52167034,11.04827023,11.55930996,9.360919952,9.342309952,9.180729866,7.921060085,7.018630028,5.841119766,6.722404957
5,55,Guinea,45.32741928,46.94253159,47.79207993,48.59208752,49.69678347,50.80147942,51.90617537,53.01087132,54.11556727,55.22026322,56.32495916,57.42965511,58.53435106,59.63904701,60.74374296,61.84843891,62.95313486,64.0578308,61.38684082,65.50390625,67.74687195,69.58058929,70.2466507,70.34264374,73.52105713,72.98919678,74.00009434
9,119,Japan,39.11059189,42.11414753,43.17785578,44.55701828,46.22626114,46.36898055,47.4326888,48.49639706,49.56010531,50.62381357,51.68752182,52.75123008,53.81493834,54.87864659,55.94235485,57.0060631,58.06977136,59.13347961,62.11674118,62.94142914,63.25098038,63.58443832,63.80704117,64.10384369,64.61711884,67.64314565,68.70685391
10,120,Kazakhstan,35.58805084,31.04862022,32.01303945,33.18197794,24.51656914,31.81212997,36.68879343,37.85773193,39.02667043,40.19560893,41.36454742,58.19260025,43.70242442,44.87136291,46.04030141,46.24797058,48.70264816,51.60951996,50.44258881,48.80432129,46.37350845,46.61611938,50.1461792,53.98825073,61.74975967,70.67794037,60.06756337
12,127,Kuwait,21.16748047,25.18445969,24.90232086,20.57945807,23.95033073,24.09630096,21.25661087,20.5089798,19.61356926,19.20824051,32.88840818,34.64682963,36.40525107,38.16367252,39.92209396,41.68051541,43.43893685,45.19735829,46.95577974,51.02970123,55.14833069,57.28532028,55.36050034,54.36413956,55.30754852,61.13386917,61.02315129
11,122,Kyrgyzstan,21.13801003,22.74057961,25.0905304,29.10199928,29.77473068,35.40402985,40.7312088,43.64690018,40.97586823,40.78459167,42.58229065,43.58890152,42.94120026,46.72306061,44.34661102,42.15980148,41.3146019,43.95516968,47.4823494,45.87522125,46.66786957,45.11103821,42.81687164,41.26702118,42.32133865,46.451931,53.46358871
13,143,Lithuania,26.29737091,28.48907089,32.47756958,38.67401123,44.6277504,50.89682007,57.34761047,63.0700798,69.63041687,74.90138245,79.72981262,82.45317841,82.51583099,85.74508667,89.25216675,86.5725708,84.05558777,79.75163269,73.53320313,70.40061188,69.74053955,71.11852264,72.41745758,73.7303009,72.00897217,70.78690338,88.9382711
14,202,Russia,43.13270187,44.72154999,46.242939,48.39941025,51.88737869,55.79957962,61.56679916,66.85832214,70.6703186,70.59243774,72.56594086,72.79666901,74.02127075,74.89585876,75.3270874,74.02355246,76.18489075,75.90708923,77.85031891,78.46309662,79.93813324,80.63262177,81.90930939,84.5842514,86.40014648,90.7191708,92.38873263
15,234,Tajikistan,20.8753109,16.16949539,16.69351192,17.21752846,17.08436012,17.85551071,17.30537987,17.42102051,18.68930054,19.93045044,20.52091026,21.64666939,22.66036034,23.10116005,22.79066086,22.8998394,22.23650932,22.69923019,22.90821075,24.70545959,26.58861923,29.1661396,31.25655937,27.69785918,28.22187572,28.74589225,29.26990879
19,246,Tanzania,0.490740001,0.551999986,0.641369998,0.557089984,0.641160011,0.685000002,0.705060005,0.73785001,0.945519984,1.274009943,1.488489985,2.127211727,1.509639978,2.569230166,2.790239385,2.14805007,3.232257823,3.965529919,3.675800085,4.849030018,4.010159969,4.070569992,4.558313138,4.779322358,3.092499971,7.830719948,5.442350015
17,243,Tunisia,12.22457027,13.13142014,13.87403965,15.24627972,16.88180923,19.20266914,21.69548035,23.28436089,27.45470047,29.90094948,31.7646904,32.43255997,32.67416,33.74512863,34.99985123,35.41902924,35.17034912,35.87717819,34.95698929,35.33420944,35.19113922,32.81536102,32.14937973,31.74651909,31.84726906,32.75600052,40.12845147
18,244,Turkey,20.28063011,3.843721148,23.98666,23.25429916,23.86259079,21.68370528,25.62334061,26.55532074,30.20878029,30.98077965,33.09503937,36.92269897,38.80710983,40.22743988,46.55458069,56.37697983,61.11635971,69.7725296,79.56095123,86.94416046,95.31429291,103.5820694,109.5492401,113.2170715,115.0420609,117.1131516,115.343622
16,235,Turkmenistan,-16.11987724,-14.85275383,-13.58563042,-12.31850702,-11.05138361,-9.784260202,-8.517136795,-7.250013387,-5.98288998,-4.715766573,-3.448643165,-2.181519758,-0.91439635,0.352727057,1.619850464,2.886973872,4.154097279,5.421220686,6.688344094,7.965869904,9.222590908,10.48971432,11.75683772,13.02396113,14.22867012,15.61021996,16.82533135
20,250,Ukraine,42.2639389,42.45446014,44,45.34056091,47.21155167,48.7762413,51.99213028,56.56587982,60.84936142,65.71183014,70.30892181,75.3947525,78.89259338,81.24918365,81.96871185,80.17552948,82.19396973,81.71401978,80.15564728,82.67118073,83,83,83,83,83,83,83
21,250,Uzbekistan,12.5,12.5,13,13,13.0250597,13.07149982,13.42383957,13.85863972,14.00807953,14.20897007,10.07478046,10.28240967,10.19544983,10.21959972,9.986749649,9.377269745,8.825429916,8.038840294,8.086640358,8.103139877,8.224089622,8.463600159,9.181099892,10.07635021,12.5820303,15.92047977,21.24823952
