Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
,Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Armenia,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.04800034,10.9119997,10.77600002,10.59399986,10.34399986,10.20300007,9.996999741,9.81000042,14.39299965,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937,20.89699936
15,Azerbaijan,7.199999809,8.100000381,9.100000381,10,10.89999962,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,4.849999905,6.462999821,6.583000183
30,Barbados,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,9.800000191,8.25,8.619999886,8.319999695,8.409999847,10.37699986,10.41300011
25,Belarus,17.70000076,24.39999962,17.10000038,14,12.80000019,12.26200008,11.5539999,10.90699959,10.32400036,9.819999695,9.062999725,8.399999619,7.672999859,7.032000065,6.099999905,6.252999783,6.165999889,6.051000118,6.006000042,5.993999958,5.840000153,5.840000153,5.650000095,4.760000229,4.159999847,4.768000126,4.736000061
66,Ecuador,4.592000008,4.651000023,4.513000011,4.605000019,5.184000015,4.800000191,4.25,4.897999763,5.659999847,5,3.779999971,3.549999952,3.140000105,3.920000076,4.610000134,4.090000153,3.460000038,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,6.427000046
82,Georgia,7.599999905,11.5,11.5,14.52999973,13.80000019,10.81999969,11.15999985,12.59000015,11.51000023,12.61999989,13.81000042,13.56999969,13.27999973,17.87000084,20.70999908,20.20000076,19.62999916,19.64999962,19.42000008,17.44000053,16.51000023,16.60000038,13.93999958,12.67000008,11.56999969,18.5,10.6590004
85,Germany,4.477000237,4.489999771,4.493999958,4.519000053,4.528999805,4.552999973,4.552999973,4.550000191,4.616000175,4.631999969,4.652999878,4.698999882,4.671000004,4.724999905,4.806000233,4.772999763,4.793000221,4.81799984,4.866000175,4.895999908,4.922999859,4.880000114,4.914000034,4.982999802,5.019999981,6.103000164,6.342000008
55,Guinea,8.159999847,8.819999695,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.809999943,3.535000086
119,Japan,3.200000048,3.400000095,3.400000095,4.099999905,4.699999809,4.75,5.019999981,5.389999866,5.25,4.730000019,4.449999809,4.190000057,3.890000105,4,5.070000172,5.099999905,4.550000191,4.360000134,4,3.599999905,3.400000095,3.099999905,2.799999952,2.400000095,2.400000095,2.799999952,2.799000025
120,Kazakhstan,10.97999954,12.96000004,13.01000023,13.13000011,13.46000004,12.75,10.43000031,9.329999924,8.779999733,8.399999619,8.130000114,7.789999962,7.260000229,6.630000114,6.550000191,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,4.849999905,4.800000191,4.889999866,4.900000095
127,Kuwait,0.699000001,0.699999988,0.699999988,0.699999988,0.699999988,0.800000012,0.800000012,1.100000024,1.299999952,1.700000048,1.495000005,1.299999952,1.5,1.75,1.639999986,1.820000052,2.038000107,2.319999933,2.622999907,2.900000095,2.200000048,2.160000086,2.197000027,2.164999962,2.167000055,3.539000034,3.713999987
122,Kyrgyzstan,5.599999905,7.300000191,7.5,8.899999619,8.399999619,7.539999962,7.840000153,12.55000019,9.920000076,8.529999733,8.109999657,8.270000458,8.100000381,8.220000267,8.409999847,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,6.886000156,6.918000221,8.706000328,9.104000092
143,Lithuania,17.54000092,16.39999962,14.13000011,13.71000004,13.39000034,15.93000031,16.84000015,13.01000023,12.86999989,10.68000031,8.319999695,5.78000021,4.25,5.829999924,13.78999996,17.80999947,15.39000034,13.35999966,11.77000046,10.69999981,9.119999886,7.860000134,7.070000172,6.150000095,6.260000229,8.489999771,7.902999878
202,Russia,9.449999809,9.670000076,11.81000042,13.26000023,13.03999996,10.57999992,8.979999542,7.880000114,8.210000038,7.760000229,7.119999886,7.059999943,6,6.210000038,8.300000191,7.369999886,6.539999962,5.440000057,5.460000038,5.159999847,5.570000172,5.559999943,5.210000038,4.849999905,4.5,5.590000153,5.010000229
234,Tajikistan,10.30000019,13.39999962,13.89999962,16.5,15.39999962,15.13099957,14.77299976,14.4119997,14.02299976,13.60999966,13.12800026,12.74300003,12.36900043,11.97900009,11.5,10.89000034,10.24100018,9.576000214,8.907999992,8.229999542,7.553999901,6.900000095,6.953999996,7.012000084,7.06099987,7.583000183,7.754000187
246,Tanzania,3.35800004,3.290999889,3.244999886,3.186000109,3.117000103,3.062999964,2.99000001,3.039999962,3.105999947,3.161999941,3.226000071,3.299999952,3.029999971,2.769000053,2.5,2.986000061,3.470000029,3.227999926,2.930000067,2.119999886,2.142999887,2.157999992,2.177000046,2.20600009,2.221999884,2.528000116,2.648999929
243,Tunisia,15.93700027,15.83100033,15.93999958,15.60599995,15.21000004,14.93999958,14.39999962,14.55000019,14.51000023,14.22999954,12.86999989,12.51000023,12.35999966,12.43999958,13.28999996,13.05000019,18.32999992,17.62999916,15.93000031,15.05700016,15.15999985,15.56000042,15.32999992,15.46000004,15.13000011,16.59199905,16.8239994
244,Turkey,7.639999866,6.630000114,6.840000153,6.889999866,7.690000057,6.5,8.380000114,10.35999966,10.53999996,10.84000015,10.64000034,8.720000267,8.869999886,9.710000038,12.55000019,10.65999985,8.800000191,8.149999619,8.729999542,9.880000114,10.23999977,10.84000015,10.81999969,10.89000034,13.67000008,13.10999966,13.38599968
235,Turkmenistan,8.300000191,10.30000019,11,12.19999981,12.69999981,11.53600025,10.67500019,9.748000145,8.987999916,8.18999958,7.499000072,6.611000061,5.760000229,4.951000214,4,4,4.089000225,4.085999966,4.110000134,4.144999981,4.138999939,4.169000149,4.203999996,4.234000206,4.268000126,4.951000214,5.080999851
