Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
,Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Armenia,0,1,0,0,2,1,0,1,1,3,3,2,1,1,0,2,1,1,0,0,1,1,1,0,1,1,1
15,Azerbaijan,0,1,2,1,1,1,2,1,2,2,3,3,2,1,1,2,1,1,0,0,1,1,1,1,1,0,1
30,Barbados,2,1,1,0,0,0,1,1,2,1,2,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
25,Belarus,1,2,1,0,1,1,1,2,2,3,3,3,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1
66,Ecuador,0,0,0,0,1,1,1,1,2,2,2,3,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0
82,Georgia,2,1,2,1,2,2,2,2,3,3,3,3,2,2,2,2,3,2,1,1,2,1,1,2,2,2,1
85,Germany,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,0,0,1,1,2,1,1,1,1,1
55,Guinea,2,1,1,0,0,0,1,1,2,3,1,2,1,0,0,1,1,1,2,1,1,1,1,1,1,1,0
119,Japan,1,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,1,0,2,0,0,1,1,1,1,1,1
120,Kazakhstan,2,1,0,0,1,1,1,1,1,3,3,2,2,1,1,1,0,1,2,2,1,0,0,1,1,2,1
127,Kuwait,1,0,0,1,2,3,1,0,1,2,1,1,1,1,1,1,0,0,1,1,1,1,0,2,1,1,1
122,Kyrgyzstan,1,1,1,1,2,2,1,1,2,2,3,3,3,3,3,2,2,2,2,3,2,1,1,2,2,2,2
143,Lithuania,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
202,Russia,0,1,0,1,0,1,0,0,1,2,3,1,1,2,1,0,0,0,1,1,1,0,0,0,1,1,0
234,Tajikistan,1,0,1,1,2,1,1,2,0,2,3,3,1,1,0,1,0,0,1,2,2,3,1,1,0,0,1
246,Tanzania,2,1,1,0,0,1,1,2,1,1,2,3,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
243,Tunisia,1,0,0,1,1,1,2,1,2,1,2,1,1,1,1,0,0,0,1,1,0,1,0,1,1,2,2
244,Turkey,0,1,0,1,2,0,0,0,1,3,1,0,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1
235,Turkmenistan,1,2,1,0,2,2,1,1,2,3,3,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1
250,Ukraine,1,1,2,1,1,1,1,1,3,3,2,3,2,1,1,1,1,1,1,2,1,0,0,1,1,1,2
250,Uzbekistan,1,1,1,1,2,2,1,1,2,3,3,2,1,1,1,1,1,0,0,1,2,1,1,1,0,0,1
